Nameservice Startzeit: 09.11 14:10:08,923| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:14:31,581| von <7242.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
lookup um 09.11 14:14:31,581| von <7242.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:31,581| von <7242.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:31,581| von <7242.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:31,581| von <7242.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:31,581| von <7242.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:31,581| von <7242.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:45,714| von <7249.38.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:14:46,229| von <7240.38.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 14:14:51,752| von <7242.52.0>:{3221,clients@BlueHorst.localdomain}.
in loop unerwartete Nachricht erhalten.{<7242.55.0>,{lookup,-1}}
lookup um 09.11 14:14:57,274| von <7242.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 14:15:02,796| von <7242.52.0>:{3221,clients@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 14:16:02,872| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:16:10,532| von <7240.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:24,447| von <7242.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 14:16:25,992| von <7242.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 14:16:25,992| von <7242.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 14:16:25,992| von <7242.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 14:16:25,992| von <7242.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 14:16:25,992| von <7242.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 14:16:25,992| von <7242.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
lookup um 09.11 14:16:25,992| von <7242.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:25,992| von <7242.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:25,992| von <7242.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:25,992| von <7242.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:25,992| von <7242.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:25,992| von <7242.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:48,019| von <7249.38.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:16:48,534| von <7240.38.0>:{3241,clients@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 14:18:45,207| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:18:53,101| von <7240.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:19:00,308| von <7242.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 14:19:01,851| von <7242.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 14:19:01,852| von <7242.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 14:19:01,852| von <7242.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 14:19:01,852| von <7242.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 14:19:01,852| von <7242.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 14:19:01,852| von <7242.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
lookup um 09.11 14:19:01,852| von <7242.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:19:01,852| von <7242.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:19:01,852| von <7242.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:19:01,852| von <7242.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:19:01,852| von <7242.56.0>:{chef,koordinator@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 14:22:32,580| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:22:45,028| von <7262.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:23:10,113| von <7264.40.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 14:23:11,689| von <7264.55.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 14:23:11,736| von <7264.53.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 14:23:11,782| von <7264.58.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
bind um 09.11 14:23:11,814| von <7264.57.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 14:23:11,845| von <7264.54.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 14:23:11,891| von <7264.56.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
lookup um 09.11 14:23:11,939| von <7264.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:23:11,984| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:23:12,016| von <7264.58.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:23:12,048| von <7264.57.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:23:12,048| von <7264.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:23:12,048| von <7264.56.0>:{chef,koordinator@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 14:27:49,011| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 14:27:55,485| von <7262.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:02,801| von <7264.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 14:28:04,361| von <7264.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 14:28:04,377| von <7264.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 14:28:04,408| von <7264.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 14:28:04,424| von <7264.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 14:28:04,455| von <7264.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 14:28:04,471| von <7264.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
lookup um 09.11 14:28:04,502| von <7264.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:04,517| von <7264.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:04,533| von <7264.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:04,580| von <7264.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:04,611| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:04,627| von <7264.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:21,584| von <7271.38.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 14:28:22,146| von <7262.38.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 14:28:27,668| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
in loop unerwartete Nachricht erhalten.{<7264.56.0>,{lookup,-1}}
lookup um 09.11 14:28:33,237| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 14:28:38,713| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 14:28:44,235| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 14:28:49,758| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 14:28:55,280| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 14:29:00,818| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 16:27:23,672| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 16:27:34,217| von <7262.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:27:41,393| von <7264.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 16:27:42,952| von <7264.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 16:27:43,000| von <7264.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 16:27:43,016| von <7264.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
bind um 09.11 16:27:43,030| von <7264.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 16:27:43,062| von <7264.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 16:27:43,078| von <7264.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
lookup um 09.11 16:27:43,109| von <7264.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:27:43,125| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:27:43,155| von <7264.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:27:43,218| von <7264.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:27:43,234| von <7264.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:27:43,281| von <7264.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:28:02,609| von <7271.38.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:28:03,155| von <7262.38.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:08,677| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
in loop unerwartete Nachricht erhalten.{<7264.52.0>,{lookup,-1}}
lookup um 09.11 16:28:14,246| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:19,722| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:25,230| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:30,768| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:36,290| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:41,812| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:47,335| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:52,857| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:28:58,379| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:03,902| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:09,425| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:14,947| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:20,468| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:25,992| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:31,514| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:37,036| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:42,559| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:48,082| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:53,604| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:29:59,127| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:30:04,649| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:30:10,171| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:30:15,694| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:30:21,216| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:30:26,738| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:30:32,261| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 16:33:54,458| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 16:34:00,854| von <7262.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:08,951| von <7264.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 16:34:10,510| von <7264.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 16:34:10,572| von <7264.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 16:34:10,588| von <7264.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 16:34:10,634| von <7264.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 16:34:10,666| von <7264.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 16:34:10,681| von <7264.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:10,712| von <7264.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:10,728| von <7264.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:10,759| von <7264.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:10,759| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:10,759| von <7264.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:10,759| von <7264.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:21,102| von <7271.38.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:21,632| von <7262.38.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:22,147| von <7262.38.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:22,661| von <7262.38.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:23,176| von <7262.38.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:23,691| von <7262.38.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:24,205| von <7262.38.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:27,154| von <7264.51.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:27,669| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:28,183| von <7264.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:28,698| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:29,213| von <7264.54.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:29,728| von <7264.53.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:30,243| von <7264.51.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:30,757| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:31,272| von <7264.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:31,787| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:32,302| von <7264.54.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:32,817| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:34:35,765| von <7264.51.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:36,280| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:36,795| von <7264.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:37,310| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:37,824| von <7264.54.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:41,288| von <7264.51.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:41,802| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:42,317| von <7264.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:42,832| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:43,347| von <7264.53.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:43,394| von <7264.54.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:47,325| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:47,840| von <7264.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:48,354| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:48,869| von <7264.51.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:48,885| von <7264.53.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:48,932| von <7264.54.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:53,362| von <7264.52.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:53,877| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:54,392| von <7264.56.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:54,438| von <7264.51.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:54,470| von <7264.53.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:54,501| von <7264.54.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:34:59,399| von <7264.55.0>:{3231,clients@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 16:39:12,117| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 16:39:18,169| von <7262.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:23,488| von <7264.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 16:39:25,096| von <7264.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 16:39:25,143| von <7264.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
bind um 09.11 16:39:25,189| von <7264.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 16:39:25,237| von <7264.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 16:39:25,282| von <7264.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 16:39:25,314| von <7264.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:25,346| von <7264.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:25,393| von <7264.56.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:25,439| von <7264.55.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:25,486| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:25,532| von <7264.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:25,580| von <7264.51.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:33,738| von <7271.38.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:34,316| von <7262.38.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:34,831| von <7262.38.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:35,345| von <7262.38.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:35,859| von <7262.38.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:36,375| von <7262.38.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:36,890| von <7262.38.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:39,838| von <7264.55.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:40,353| von <7264.51.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:40,867| von <7264.54.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:41,383| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:41,897| von <7264.56.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:42,411| von <7264.53.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:42,927| von <7264.55.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:43,441| von <7264.51.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:43,956| von <7264.54.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:44,471| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:44,986| von <7264.56.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:45,500| von <7264.53.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:39:48,450| von <7264.55.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:48,964| von <7264.51.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:49,479| von <7264.54.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:49,994| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:50,508| von <7264.56.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:53,972| von <7264.55.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:54,487| von <7264.51.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:54,002| von <7264.54.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:55,516| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:56,030| von <7264.53.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:39:56,062| von <7264.56.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:00,008| von <7264.51.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:00,524| von <7264.54.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:01,038| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:01,554| von <7264.55.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:01,616| von <7264.53.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:01,632| von <7264.56.0>:{3241,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:06,046| von <7264.54.0>:{3251,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:06,560| von <7264.52.0>:{3211,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:07,076| von <7264.51.0>:{3231,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:07,107| von <7264.55.0>:{3261,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:07,123| von <7264.53.0>:{3221,clients@BlueHorst.localdomain}.
lookup um 09.11 16:40:07,153| von <7264.56.0>:{3241,clients@BlueHorst.localdomain}.
Nameservice Startzeit: 09.11 16:42:08,946| mit PID <0.40.0> registriert mit Namen 'nameservice'.
bind um 09.11 16:42:16,387| von <7262.38.0> (chef):{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:42:24,312| von <7264.38.0>:{chef,koordinator@BlueHorst.localdomain}.
bind um 09.11 16:42:25,888| von <7264.54.0> ('3231'):{'3231',clients@BlueHorst.localdomain}.
bind um 09.11 16:42:25,935| von <7264.52.0> ('3251'):{'3251',clients@BlueHorst.localdomain}.
bind um 09.11 16:42:25,966| von <7264.51.0> ('3261'):{'3261',clients@BlueHorst.localdomain}.
bind um 09.11 16:42:25,997| von <7264.53.0> ('3241'):{'3241',clients@BlueHorst.localdomain}.
bind um 09.11 16:42:26,044| von <7264.55.0> ('3221'):{'3221',clients@BlueHorst.localdomain}.
bind um 09.11 16:42:26,091| von <7264.56.0> ('3211'):{'3211',clients@BlueHorst.localdomain}.
lookup um 09.11 16:42:26,137| von <7264.54.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:42:26,184| von <7264.52.0>:{chef,koordinator@BlueHorst.localdomain}.
lookup um 09.11 16:42:26,215| von <7264.51.0>:{chef,koordinator@BlueHorst.localdomain}.
